,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
26,Bredasdorp,78.22,15.64,17.6,72.0,1.12,20.0,ZA,1604114671.0
65,Port Elizabeth,56.0,8.13,46.99,75.0,9.66,16.0,ZA,1604114692.0
70,Bredasdorp,78.22,15.64,17.6,72.0,1.12,20.0,ZA,1604114671.0
120,Busselton,78.22,15.64,17.6,72.0,1.12,20.0,AU,1604114671.0
137,Kirakira,78.22,15.64,17.6,72.0,1.12,20.0,SB,1604114671.0
147,Albany,78.22,15.64,17.6,72.0,1.12,20.0,AU,1604114671.0
212,Grand River South East,70.37,31.11,34.03,87.0,6.8,27.0,MU,1604114551.0
229,Mahebourg,62.27,21.38,42.17,87.0,5.14,1.0,MU,1604114777.0
234,Albany,70.37,31.11,34.03,87.0,6.8,27.0,AU,1604114551.0
246,Saint-Joseph,78.22,15.64,17.6,72.0,1.12,20.0,RE,1604114671.0
580,Obluche,40.59,23.03,57.2,58.0,9.17,0.0,RU,1604114647.0
